"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","445","55","0","2022","1","","Alabama -- Statewide","Federal Government","NAICS 445 Food and beverage retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,177,178,181,1648222,0,0,710,"",1.53,1.30,1.30,1.34,1.46,0.00,0.00,1.11,"",0,0.0,-50,-22.0,-53,-22.9,-48,-21.0,-291637,-15.0,0,0.0,0,0.0,58,8.9
"01000","2","445","55","0","2022","1","N","Alabama -- Statewide","State Government","NAICS 445 Food and beverage retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",166,0,0,0,0,0,0,0,"N",30.71,0,0,0,0,0,0,0,"N",-7,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","445","55","0","2022","1","","Alabama -- Statewide","Private","NAICS 445 Food and beverage retailers","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1387,34521,35384,35103,223550598,171840554,1491435,491,"",0.70,0.82,0.83,0.83,0.89,0.89,0.98,1.08,"",72,5.5,1206,3.6,1082,3.2,1406,4.2,32663918,17.1,20224700,13.3,-456045,-23.4,56,12.9
"01001","2","445","75","0","2022","1","N","Autauga County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",53.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","445","75","0","2022","1","","Autauga County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,160,171,169,942922,688927,6669,435,"",0.44,0.67,0.71,0.71,0.82,0.74,0.83,1.18,"",0,0.0,-12,-7.0,-4,-2.3,-11,-6.1,130613,16.1,81516,13.4,-4459,-40.1,79,22.2
"01003","2","445","75","0","2022","1","","Baldwin County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,40,42,41,271291,0,0,509,"",35.73,9.47,10.44,10.19,13.96,0.00,0.00,1.39,"",0,0.0,-1,-2.4,0,0.0,-2,-4.7,-30232,-10.0,0,0.0,0,0.0,-43,-7.8
"01003","5","445","75","0","2022","1","","Baldwin County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",93,2060,2131,2137,15443373,11778113,108183,563,"",0.90,1.26,1.29,1.28,2.02,1.58,1.93,1.58,"",7,8.1,38,1.9,74,3.6,110,5.4,2911894,23.2,1892983,19.1,-20428,-15.9,89,18.8
"01005","2","445","75","0","2022","1","N","Barbour County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",89.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","445","75","0","2022","1","","Barbour County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,168,175,163,880284,709447,5451,401,"",0.73,1.04,1.06,0.99,1.24,1.02,1.03,1.20,"",0,0.0,9,5.7,16,10.1,5,3.2,113153,14.8,88843,14.3,-2129,-28.1,29,7.8
"01007","2","445","75","0","2022","1","N","Bibb County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",68.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
