FIPS,County,State
37001,Alamance,NC
37003,Alexander,NC
37005,Alleghany,NC
37007,Anson,NC
37009,Ashe,NC
37011,Avery,NC
37013,Beaufort,NC
37015,Bertie,NC
37017,Bladen,NC
37019,Brunswick,NC
37021,Buncombe,NC
37023,Burke,NC
37025,Cabarrus,NC
37027,Caldwell,NC
37029,Camden,NC
37031,Carteret,NC
37033,Caswell,NC
37035,Catawba,NC
37037,Chatham,NC
37039,Cherokee,NC
37041,Chowan,NC
37043,Clay,NC
37045,Cleveland,NC
37047,Columbus,NC
37049,Craven,NC
37051,Cumberland,NC
37053,Currituck,NC
37055,Dare,NC
37057,Davidson,NC
37059,Davie,NC
37061,Duplin,NC
37063,Durham,NC
37065,Edgecombe,NC
37067,Forsyth,NC
37069,Franklin,NC
37071,Gaston,NC
37073,Gates,NC
37075,Graham,NC
37077,Granville,NC
37079,Greene,NC
37081,Guilford,NC
37083,Halifax,NC
37085,Harnett,NC
37087,Haywood,NC
37089,Henderson,NC
37091,Hertford,NC
37093,Hoke,NC
37095,Hyde,NC
37097,Iredell,NC
37099,Jackson,NC
37101,Johnston,NC
37103,Jones,NC
37105,Lee,NC
37107,Lenoir,NC
37109,Lincoln,NC
37111,McDowell,NC
37113,Macon,NC
37115,Madison,NC
37117,Martin,NC
37119,Mecklenburg,NC
37121,Mitchell,NC
37123,Montgomery,NC
37125,Moore,NC
37127,Nash,NC
37129,New Hanover,NC
37131,Northampton,NC
37133,Onslow,NC
37135,Orange,NC
37137,Pamlico,NC
37139,Pasquotank,NC
37141,Pender,NC
37143,Perquimans,NC
37145,Person,NC
37147,Pitt,NC
37149,Polk,NC
37151,Randolph,NC
37153,Richmond,NC
37155,Robeson,NC
37157,Rockingham,NC
37159,Rowan,NC
37161,Rutherford,NC
37163,Sampson,NC
37165,Scotland,NC
37167,Stanly,NC
37169,Stokes,NC
37171,Surry,NC
37173,Swain,NC
37175,Transylvania,NC
37177,Tyrrell,NC
37179,Union,NC
37181,Vance,NC
37183,Wake,NC
37185,Warren,NC
37187,Washington,NC
37189,Watauga,NC
37191,Wayne,NC
37193,Wilkes,NC
37195,Wilson,NC
37197,Yadkin,NC
37199,Yancey,NC
51001,Accomack,VA
51003,Albemarle,VA
51005,Alleghany,VA
51007,Amelia,VA
51009,Amherst,VA
51011,Appomattox,VA
51013,Arlington,VA
51015,Augusta,VA
51017,Bath,VA
51019,Bedford,VA
51021,Bland,VA
51023,Botetourt,VA
51025,Brunswick,VA
51027,Buchanan,VA
51029,Buckingham,VA
51031,Campbell,VA
51033,Caroline,VA
51035,Carroll,VA
51036,Charles City,VA
51037,Charlotte,VA
51041,Chesterfield,VA
51043,Clarke,VA
51045,Craig,VA
51047,Culpeper,VA
51049,Cumberland,VA
51051,Dickenson,VA
51053,Dinwiddie,VA
51057,Essex,VA
51059,Fairfax,VA
51061,Fauquier,VA
51063,Floyd,VA
51065,Fluvanna,VA
51067,Franklin,VA
51069,Frederick,VA
51071,Giles,VA
51073,Gloucester,VA
51075,Goochland,VA
51077,Grayson,VA
51079,Greene,VA
51081,Greensville,VA
51083,Halifax,VA
51085,Hanover,VA
51087,Henrico,VA
51089,Henry,VA
51091,Highland,VA
51093,Isle of Wight,VA
51095,James City,VA
51097,King and Queen,VA
51099,King George,VA
51101,King William,VA
51103,Lancaster,VA
51105,Lee,VA
51107,Loudoun,VA
51109,Louisa,VA
51111,Lunenburg,VA
51113,Madison,VA
51115,Mathews,VA
51117,Mecklenburg,VA
51119,Middlesex,VA
51121,Montgomery,VA
51125,Nelson,VA
51127,New Kent,VA
51131,Northampton,VA
51133,Northumberland,VA
51135,Nottoway,VA
51137,Orange,VA
51139,Page,VA
51141,Patrick,VA
51143,Pittsylvania,VA
51145,Powhatan,VA
51147,Prince Edward,VA
51149,Prince George,VA
51153,Prince William,VA
51155,Pulaski,VA
51157,Rappahannock,VA
51159,Richmond,VA
51161,Roanoke,VA
51163,Rockbridge,VA
51165,Rockingham,VA
51167,Russell,VA
51169,Scott,VA
51171,Shenandoah,VA
51173,Smyth,VA
51175,Southampton,VA
51177,Spotsylvania,VA
51179,Stafford,VA
51181,Surry,VA
51183,Sussex,VA
51185,Tazewell,VA
51187,Warren,VA
51191,Washington,VA
51193,Westmoreland,VA
51195,Wise,VA
51197,Wythe,VA
51199,York,VA
51510,Alexandria City,VA
51515,Bedford City,VA
51520,Bristol City,VA
51530,Buena Vista City,VA
51540,Charlottesville City,VA
51550,Chesapeake City,VA
51560,Clifton Forge City,VA
51570,Colonial Heights Cit,VA
51580,Covington City,VA
51590,Danville City,VA
51595,Emporia City,VA
51600,Fairfax City,VA
51610,Falls Church City,VA
51620,Franklin City,VA
51630,Fredericksburg City,VA
51640,Galax City,VA
51650,Hampton City,VA
51660,Harrisonburg City,VA
51670,Hopewell City,VA
51678,Lexington City,VA
51680,Lynchburg City,VA
51683,Manassas City,VA
51685,Manassas Park City,VA
51690,Martinsville City,VA
51700,Newport News City,VA
51710,Norfolk City,VA
51720,Norton City,VA
51730,Petersburg City,VA
51735,Poquoson City,VA
51740,Portsmouth City,VA
51750,Radford City,VA
51760,Richmond City,VA
51770,Roanoke City,VA
51775,Salem City,VA
51780,South Boston City,VA
51790,Staunton City,VA
51800,Suffolk City,VA
51810,Virginia Beach City,VA
51820,Waynesboro City,VA
51830,Williamsburg City,VA
51840,Winchester City,VA
